rebalance_date,coin_id,coin_rank,coin_score,coin_weight
2023-01-02,the-open-network,1,0.9696994285714287,1.0
2023-01-16,optimism,1,0.9579364210526315,1.0
2023-01-30,optimism,1,0.9106930526315791,1.0
2023-02-13,hedera-hashgraph,1,0.9990884736842107,1.0
2023-02-27,filecoin,1,0.8777983157894739,1.0
2023-03-13,optimism,1,0.9570248947368422,1.0
2023-03-27,ripple,1,0.9360335789473685,1.0
2023-04-10,arbitrum,1,0.9933717500000001,1.0
2023-04-24,arbitrum,1,0.9292986666666667,1.0
2023-05-08,ethereum,1,0.9191176470588236,1.0
2023-05-22,sui,1,0.9603119615384615,1.0
2023-06-05,ripple,1,0.9351220526315791,1.0
2023-06-19,ripple,1,0.8972765833333334,1.0
2023-07-03,bitcoin-cash,1,0.9624351052631579,1.0
2023-07-17,ripple,1,0.892146947368421,1.0
2023-07-31,maker,1,0.9027990625000001,1.0
2023-08-14,hedera-hashgraph,1,0.9050657500000001,1.0
2023-08-28,shiba-inu,1,0.8686619285714287,1.0
2023-09-11,stellar,1,0.9856610625000002,1.0
2023-09-25,chainlink,1,1.0,1.0
2023-10-09,chainlink,1,0.9820701333333334,1.0
2023-10-23,solana,1,0.9849333157894737,1.0
2023-11-06,solana,1,0.9356096842105263,1.0
2023-11-20,avalanche-2,1,0.916870105263158,1.0
2023-12-04,avalanche-2,1,0.945690052631579,1.0
2023-12-18,injective-protocol,1,0.9981769473684212,1.0
2024-01-01,internet-computer,1,0.9665098947368422,1.0
2024-01-15,sui,1,0.9990884736842107,1.0
2024-01-29,sui,1,1.0,1.0
2024-02-12,bittensor,1,0.9665098947368422,1.0
2024-02-26,uniswap,1,0.9016319473684211,1.0
2024-03-11,near,1,0.9202268421052632,1.0
2024-03-25,the-open-network,1,0.9615235789473685,1.0
2024-04-08,the-open-network,1,0.9858448421052631,1.0
2024-04-22,the-open-network,1,0.9944183157894737,1.0
2024-05-06,near,1,0.946456894736842,1.0
2024-05-20,the-open-network,1,0.9663652105263157,1.0
2024-06-03,pepe,1,0.9832549473684211,1.0
2024-06-17,the-open-network,1,0.9661937368421054,1.0
2024-07-01,the-open-network,1,1.0,1.0
2024-07-15,solana,1,0.9288003157894736,1.0
2024-07-29,ripple,1,0.9559418947368422,1.0
2024-08-12,sui,1,0.9888366315789474,1.0
2024-08-26,tron,1,0.9575345263157895,1.0
2024-09-09,render-token,1,0.9171541052631578,1.0
2024-09-23,sui,1,0.987925105263158,1.0
2024-10-07,sui,1,0.9858448421052631,1.0
2024-10-21,dogecoin,1,0.9342105263157896,1.0
2024-11-04,dogecoin,1,0.9568534210526316,1.0
2024-11-18,stellar,1,0.9351220526315791,1.0
2024-12-02,hedera-hashgraph,1,1.0,1.0
2024-12-16,ripple,1,0.9306233684210526,1.0
2024-12-30,hedera-hashgraph,1,0.9493629473684211,1.0
2025-01-13,ripple,1,0.9511270526315789,1.0
2025-01-27,ripple,1,0.9624351052631579,1.0
2025-02-10,litecoin,1,0.9162967368421051,1.0
2025-02-24,litecoin,1,0.9944183157894737,1.0
2025-03-10,whitebit,1,1.0,1.0
2025-03-24,binancecoin,1,0.9473684210526315,1.0
2025-04-07,whitebit,1,0.970778157894737,1.0
2025-04-21,tron,1,0.9388217368421052,1.0
2025-05-05,sui,1,0.9888366315789474,1.0
2025-05-19,monero,1,0.9615235789473685,1.0
2025-06-02,monero,1,0.9356096842105263,1.0
2025-06-16,bitcoin-cash,1,0.9981769473684212,1.0
2025-06-30,whitebit,1,0.9776732631578948,1.0
2025-07-14,stellar,1,1.0,1.0
2025-07-28,hedera-hashgraph,1,0.9832549473684211,1.0
2025-08-11,chainlink,1,0.9652822105263159,1.0
2025-08-25,chainlink,1,0.9720915789473685,1.0
2025-09-08,world-liberty-financial,1,0.9832549473684211,1.0
2025-09-22,avalanche-2,1,0.9127953157894738,1.0
2025-10-06,binancecoin,1,0.9990884736842107,1.0
2025-10-20,binancecoin,1,0.9832549473684211,1.0
2025-11-03,zcash,1,0.9944183157894737,1.0
2025-11-17,zcash,1,1.0,1.0
2025-12-01,monero,1,0.9378834210526317,1.0
2025-12-15,whitebit,1,0.8963294736842107,1.0
2025-12-29,canton-network,1,0.9671052631578949,1.0
2026-01-12,canton-network,1,0.9888366315789474,1.0
2026-01-26,canton-network,1,0.9322159999999999,1.0
2026-02-09,canton-network,1,0.9990884736842107,1.0
2026-02-23,rain,1,0.8775898947368421,1.0
2026-03-09,hyperliquid,1,0.9199696315789473,1.0
2026-03-23,hyperliquid,1,0.9888366315789474,1.0
2026-04-06,memecore,1,1.0,1.0
2026-04-20,memecore,1,0.9832549473684211,1.0
