,DeFi,Exchange / Trading Infrastructure,Meme,Oracle / Middleware,Other,Payments,Privacy,RWA / Yield Protocol,Smart Contract Platform / L1,Store of Value
2021-02-05,0.2728587385202823,0.0,0.23842482538578347,0.22043354442604096,0.0,0.0,0.0,0.0,0.2698358895983219,0.0
2021-02-06,0.24133093651912124,0.0,0.2802670811428744,0.2006346184720864,0.0,0.0,0.0,0.0,0.27925502201946434,0.0
2021-02-07,0.21346869514098338,0.0,0.34835214592400954,0.18042289732772537,0.0,0.0,0.0,0.0,0.2591080427184582,0.0
2021-02-08,0.21640300380020788,0.0,0.33606890469298745,0.17863888892095062,0.0,0.0,0.0,0.0,0.2701926018535531,0.0
2021-02-09,0.2203292976840126,0.0,0.30383990470306455,0.19694898156478655,0.0,0.0,0.0,0.0,0.28020746668996993,0.0
2021-02-10,0.21739874255031222,0.0,0.2938004700923956,0.17818319942928226,0.0,0.0,0.0,0.0,0.3118497296651884,0.0
2021-02-11,0.21992567063217378,0.0,0.27961357590963964,0.18411931093382877,0.0,0.0,0.0,0.0,0.31756828754808286,0.0
2021-02-12,0.21842335515649597,0.0,0.2694988245072229,0.19397842933943477,0.0,0.0,0.0,0.0,0.31927522928155505,0.0
2021-02-13,0.20856303536387052,0.0,0.2585129734131861,0.2183686738983311,0.0,0.0,0.0,0.0,0.315744652208066,0.0
2021-02-14,0.2089922287447003,0.0,0.2549407143455383,0.2233781535915941,0.0,0.0,0.0,0.0,0.3139351846527533,0.0
2021-02-15,0.20761881603726312,0.0,0.23803550672453921,0.2255340536641796,0.0,0.0,0.0,0.0,0.3300975292126568,0.0
2021-02-16,0.20469087962244423,0.0,0.22689306951063593,0.2231070818915403,0.0,0.0,0.0,0.0,0.34660500425784946,0.0
2021-02-17,0.21249876151852282,0.0,0.2078147625383176,0.2234628492677573,0.0,0.0,0.0,0.0,0.3575103271848391,0.0
2021-02-18,0.20034587999374648,0.0,0.24059239885564815,0.21576690891166803,0.0,0.0,0.0,0.0,0.344530126315436,0.0
2021-02-19,0.18964509120102013,0.0,0.22105435710712104,0.2290749775792203,0.0,0.0,0.0,0.0,0.3614511811434521,0.0
2021-02-20,0.21185620199057373,0.0,0.198395341905655,0.20481245929732853,0.0,0.0,0.0,0.0,0.38605124204604946,0.0
2021-02-21,0.2090617784734666,0.0,0.20401403836361967,0.20486812471643917,0.0,0.0,0.0,0.0,0.3831702047017381,0.0
2021-02-22,0.2061320959206629,0.0,0.20498429046805103,0.19801512156954015,0.0,0.0,0.0,0.0,0.3920349166403548,0.0
2021-02-23,0.2105043535821595,0.0,0.20716975216743647,0.18563791223616613,0.0,0.0,0.0,0.0,0.39802437620483866,0.0
2021-02-24,0.19951857486475652,0.0,0.2286565737434396,0.18690928540819396,0.0,0.0,0.0,0.0,0.3861515796253394,0.0
2021-02-25,0.19752877383860296,0.0,0.21818807524468614,0.17658956719645802,0.0,0.0,0.0,0.0,0.40902319185799996,0.0
2021-02-26,0.18540304338512686,0.0,0.21118067177439598,0.17343558359465377,0.0,0.0,0.0,0.0,0.4312596400158657,0.0
2021-02-27,0.18283068124315782,0.0,0.20161814213331114,0.17383737612316277,0.0,0.0,0.0,0.0,0.4429445052247928,0.0
2021-02-28,0.18456507754804086,0.0,0.1982470116159899,0.167484734991626,0.0,0.0,0.0,0.0,0.4509644611534721,0.0
2021-03-01,0.25403423095046146,0.27262424652081824,0.23627906172757737,0.0,0.0,0.0,0.0,0.0,0.23903762861247985,0.0
2021-03-02,0.2644219176066305,0.2642191222643849,0.24181912169707936,0.0,0.0,0.0,0.0,0.0,0.23157484978544868,0.0
2021-03-03,0.2641786179863451,0.2646321614840178,0.24220026240939974,0.0,0.0,0.0,0.0,0.0,0.23101388776118068,0.0
2021-03-04,0.27851805085941506,0.25899719571419555,0.2458626900342294,0.0,0.0,0.0,0.0,0.0,0.2186999409288722,0.0
2021-03-05,0.2785967988646915,0.25699002096734574,0.2456291192019148,0.0,0.0,0.0,0.0,0.0,0.22087837327499737,0.0
2021-03-06,0.2806668055380823,0.2539085467990382,0.24909033922324958,0.0,0.0,0.0,0.0,0.0,0.21840082212526418,0.0
2021-03-07,0.2996266565062795,0.2519875822862402,0.23850298648150595,0.0,0.0,0.0,0.0,0.0,0.21181827257714322,0.0
2021-03-08,0.289459095975206,0.24148046228382297,0.2714950769333763,0.0,0.0,0.0,0.0,0.0,0.1994190819798125,0.0
2021-03-09,0.2755018490168878,0.28005995511180776,0.24140334033376257,0.0,0.0,0.0,0.0,0.0,0.20479539722364967,0.0
2021-03-10,0.271124502462756,0.2802236541049839,0.24501546781487193,0.0,0.0,0.0,0.0,0.0,0.20548689066295914,0.0
2021-03-11,0.26409138369926766,0.28436027276021375,0.2393128880904803,0.0,0.0,0.0,0.0,0.0,0.21404568363706872,0.0
2021-03-12,0.27021005672581816,0.27373981490549937,0.250606080899651,0.0,0.0,0.0,0.0,0.0,0.20735918581799884,0.0
2021-03-13,0.2676071409383689,0.26695489222359564,0.2632706263597657,0.0,0.0,0.0,0.0,0.0,0.20395100459565324,0.0
2021-03-14,0.26640099794761457,0.26988519477726547,0.26061397829656274,0.0,0.0,0.0,0.0,0.0,0.2049812149521082,0.0
2021-03-15,0.26593510697582845,0.2677538119921816,0.2617864169393307,0.0,0.0,0.0,0.0,0.0,0.20646431016995198,0.0
2021-03-16,0.2607483267110452,0.26481824197646586,0.2622662591898845,0.0,0.0,0.0,0.0,0.0,0.21405998527057368,0.0
2021-03-17,0.2613799824879472,0.26799472658697426,0.2497181548496404,0.0,0.0,0.0,0.0,0.0,0.22273921848335196,0.0
2021-03-18,0.25848290728684675,0.26829333718918696,0.2565729675751063,0.0,0.0,0.0,0.0,0.0,0.21854203021894067,0.0
2021-03-19,0.2682296851144443,0.26302513230012425,0.25340187219803395,0.0,0.0,0.0,0.0,0.0,0.2171808970540527,0.0
2021-03-20,0.26636139059924024,0.2658860631721537,0.2582656063261451,0.0,0.0,0.0,0.0,0.0,0.2113397130012014,0.0
2021-03-21,0.2696507624564161,0.26770294493780883,0.2522790290181928,0.0,0.0,0.0,0.0,0.0,0.21223167973734017,0.0
2021-03-22,0.2704572930622725,0.2658962325958418,0.24907614863300978,0.0,0.0,0.0,0.0,0.0,0.21648718640306747,0.0
2021-03-23,0.2652713205257875,0.27187467058635256,0.24836562696248032,0.0,0.0,0.0,0.0,0.0,0.21644995522355032,0.0
2021-03-24,0.2544202179968204,0.27845769222597905,0.25131239448125975,0.0,0.0,0.0,0.0,0.0,0.21786571106952843,0.0
2021-03-25,0.25775395333651385,0.26824020944824273,0.25625452914047026,0.0,0.0,0.0,0.0,0.0,0.21985807639420088,0.0
2021-03-26,0.2580000653660716,0.2688228983338526,0.24796101060701536,0.0,0.0,0.0,0.0,0.0,0.22716002903605803,0.0
2021-03-27,0.24625738655821958,0.2775376031469826,0.24459724640407274,0.0,0.0,0.0,0.0,0.0,0.23351038967727,0.0
2021-03-28,0.2420179074622817,0.27528630147045285,0.23950590706775204,0.0,0.0,0.0,0.0,0.0,0.245076452505192,0.0
2021-03-29,0.2461738507955717,0.27428112981169106,0.23494407961464214,0.0,0.0,0.0,0.0,0.0,0.2464394811519942,0.0
2021-03-30,0.23762617255200336,0.2983297556605601,0.2251977900338571,0.0,0.0,0.0,0.0,0.0,0.24061349921547642,0.0
2021-03-31,0.23897696436771088,0.2925896874646921,0.22668390056412505,0.0,0.0,0.0,0.0,0.0,0.2435363869054295,0.0
2021-04-01,0.0,0.27210510965710477,0.0,0.24684484140409885,0.0,0.2477235375468605,0.0,0.0,0.23633913390482564,0.0
2021-04-02,0.0,0.26959396500880345,0.0,0.24107104798201262,0.0,0.25867528741767964,0.0,0.0,0.23361110782411337,0.0
2021-04-03,0.0,0.26751019144936256,0.0,0.24267941450608915,0.0,0.2548637607914813,0.0,0.0,0.23801909890013595,0.0
2021-04-04,0.0,0.2752247832022708,0.0,0.23821853574041285,0.0,0.25953640996126526,0.0,0.0,0.22992521167669971,0.0
2021-04-05,0.0,0.2680497657635943,0.0,0.2231936331749545,0.0,0.30477327426357903,0.0,0.0,0.20668831208159938,0.0
2021-04-06,0.0,0.2745125339537979,0.0,0.21092114080020907,0.0,0.3277192474594643,0.0,0.0,0.18937142840948967,0.0
2021-04-07,0.0,0.2769244076583989,0.0,0.20986639123887055,0.0,0.3125065355940446,0.0,0.0,0.2034458436431201,0.0
2021-04-08,0.0,0.28482377707185935,0.0,0.19793656980258675,0.0,0.3257908802983732,0.0,0.0,0.19397742327608586,0.0
2021-04-09,0.0,0.2990690859781688,0.0,0.19727833751568352,0.0,0.32055830225207627,0.0,0.0,0.18554351208065842,0.0
2021-04-10,0.0,0.2857429869943419,0.0,0.18265414577811995,0.0,0.3666397528426927,0.0,0.0,0.16720723927811565,0.0
2021-04-11,0.0,0.30778417084876264,0.0,0.18509855565656042,0.0,0.3501753037945906,0.0,0.0,0.1591161565082362,0.0
2021-04-12,0.0,0.33791896143609673,0.0,0.1710628057861014,0.0,0.34281842279835867,0.0,0.0,0.15029447987419398,0.0
2021-04-13,0.0,0.29392252131987634,0.0,0.16678549566129622,0.0,0.3928162764780283,0.0,0.0,0.1484605464989418,0.0
2021-04-14,0.0,0.28360685573330346,0.0,0.17849717290919814,0.0,0.39913701920607825,0.0,0.0,0.14067411250291162,0.0
2021-04-15,0.0,0.27798058037832113,0.0,0.18192901347695545,0.0,0.39324976015330115,0.0,0.0,0.14874188928642684,0.0
2021-04-16,0.0,0.2566395540628626,0.0,0.18172192096216738,0.0,0.4115893639928845,0.0,0.0,0.15191594753158372,0.0
2021-04-17,0.0,0.2659018688497621,0.0,0.17981643481792964,0.0,0.40922381822106485,0.0,0.0,0.14695414229007225,0.0
2021-04-18,0.0,0.25858284955944844,0.0,0.1743783117590828,0.0,0.4336830447009987,0.0,0.0,0.13535083775518475,0.0
2021-04-19,0.0,0.28183958911026796,0.0,0.17122007332797054,0.0,0.41260908164300203,0.0,0.0,0.13640215735127525,0.0
2021-04-20,0.0,0.30054427813679946,0.0,0.16472267905393556,0.0,0.40767220275617067,0.0,0.0,0.1289609448722278,0.0
2021-04-21,0.0,0.2999895026904055,0.0,0.1673062237181953,0.0,0.40159023677956457,0.0,0.0,0.1331530657093186,0.0
2021-04-22,0.0,0.3043111840038572,0.0,0.17824967781115958,0.0,0.38035188483124616,0.0,0.0,0.13931920586068697,0.0
2021-04-23,0.0,0.309546269853226,0.0,0.17049402166556316,0.0,0.3839126629200105,0.0,0.0,0.13822878105249414,0.0
2021-04-24,0.0,0.31589749863440175,0.0,0.1689905081808108,0.0,0.37021785044478617,0.0,0.0,0.1472558711213397,0.0
2021-04-25,0.0,0.31901442378106665,0.0,0.16927431913175517,0.0,0.35334969493638474,0.0,0.0,0.1607056905458439,0.0
2021-04-26,0.0,0.2984542557080601,0.0,0.16892753618203177,0.0,0.38192902146479635,0.0,0.0,0.1527612148382718,0.0
2021-04-27,0.0,0.3020585025319097,0.0,0.16450585516325297,0.0,0.38631295424762147,0.0,0.0,0.14909471031004873,0.0
2021-04-28,0.0,0.30685046711122277,0.0,0.16662186680150137,0.0,0.38078062243918354,0.0,0.0,0.14777113745544868,0.0
2021-04-29,0.0,0.32197776960702584,0.0,0.1641633318875729,0.0,0.37394203180533075,0.0,0.0,0.1419094469278334,0.0
2021-04-30,0.0,0.315013187622638,0.0,0.16432750612660174,0.0,0.3855291036735955,0.0,0.0,0.13700354339349113,0.0
2021-05-01,0.23036383507700853,0.0,0.2781435396699212,0.2486274819083661,0.0,0.24521709871612984,0.0,0.0,0.0,0.0
2021-05-02,0.24497858118143317,0.0,0.2673332077019394,0.24334477848582148,0.0,0.24670581710306544,0.0,0.0,0.0,0.0
2021-05-03,0.23330474672346602,0.0,0.2992776607396086,0.2380016082038889,0.0,0.23166752120102888,0.0,0.0,0.0,0.0
2021-05-04,0.21695581336980455,0.0,0.3558175579598842,0.22832032987727413,0.0,0.20109053963594978,0.0,0.0,0.0,0.0
2021-05-05,0.1969935221610793,0.0,0.38400862596514723,0.219355073368328,0.0,0.20158320064061958,0.0,0.0,0.0,0.0
2021-05-06,0.197295216198925,0.0,0.3601189860281966,0.22736990250830638,0.0,0.21727631298352512,0.0,0.0,0.0,0.0
2021-05-07,0.1813693198029333,0.0,0.3958491811037739,0.21573306110783738,0.0,0.20896940256653412,0.0,0.0,0.0,0.0
2021-05-08,0.1911084096720143,0.0,0.37976314504826403,0.21934851758514567,0.0,0.2117627996331672,0.0,0.0,0.0,0.0
2021-05-09,0.19740115237219946,0.0,0.34990526789904136,0.2343743697733227,0.0,0.2203588835786051,0.0,0.0,0.0,0.0
2021-05-10,0.21173766350854065,0.0,0.31805304754540104,0.2441894806560344,0.0,0.22836868850526099,0.0,0.0,0.0,0.0
2021-05-11,0.2074370825951072,0.0,0.32970704048687144,0.24181416038096076,0.0,0.22325409427779574,0.0,0.0,0.0,0.0
2021-05-12,0.21912956262902103,0.0,0.31191133570586727,0.25275289344327284,0.0,0.2188957929500807,0.0,0.0,0.0,0.0
2021-05-13,0.202359714858946,0.0,0.3584763450815184,0.22804762036508677,0.0,0.21354556783785575,0.0,0.0,0.0,0.0
2021-05-14,0.20024118137221075,0.0,0.3754831307698386,0.2215146407545121,0.0,0.2049907555762874,0.0,0.0,0.0,0.0
2021-05-15,0.19648833554687223,0.0,0.3697076116384542,0.21641299198506087,0.0,0.21980962343648874,0.0,0.0,0.0,0.0
2021-05-16,0.19794410595839645,0.0,0.3747644298262376,0.21197442578928866,0.0,0.21773571763267524,0.0,0.0,0.0,0.0
2021-05-17,0.19279842304501982,0.0,0.37760016928472695,0.20671901194057182,0.0,0.22545425709043176,0.0,0.0,0.0,0.0
2021-05-18,0.19387021792725895,0.0,0.3590616886840028,0.21976517444771398,0.0,0.229809004850418,0.0,0.0,0.0,0.0
2021-05-19,0.1839597396171502,0.0,0.37798886236005647,0.21049391869752954,0.0,0.2313280974999734,0.0,0.0,0.0,0.0
2021-05-20,0.18346276338342743,0.0,0.37946945108094904,0.216117071042581,0.0,0.224101692356243,0.0,0.0,0.0,0.0
2021-05-21,0.1767682097548025,0.0,0.396441401802394,0.21205413149114605,0.0,0.21840199592940945,0.0,0.0,0.0,0.0
2021-05-22,0.17430304508875233,0.0,0.4060165524694299,0.21057982541189912,0.0,0.2130413846568408,0.0,0.0,0.0,0.0
2021-05-23,0.16589178186996198,0.0,0.41589897661653286,0.21008563365719574,0.0,0.2126097839204385,0.0,0.0,0.0,0.0
2021-05-24,0.18844143108058503,0.0,0.3931628618056589,0.20799309926456722,0.0,0.21397071347404042,0.0,0.0,0.0,0.0
2021-05-25,0.1942014167766291,0.0,0.37852865036991584,0.2146631537493443,0.0,0.2162390863588496,0.0,0.0,0.0,0.0
2021-05-26,0.20149899357654094,0.0,0.35341341848148383,0.22724597562455612,0.0,0.22116204930572986,0.0,0.0,0.0,0.0
2021-05-27,0.20446744542936984,0.0,0.3537234949666695,0.22608222464570693,0.0,0.21925728251514748,0.0,0.0,0.0,0.0
2021-05-28,0.20145802175026314,0.0,0.3618473379499779,0.22387732580028608,0.0,0.2166811422401499,0.0,0.0,0.0,0.0
2021-05-29,0.19328536882787045,0.0,0.37402803845176963,0.22541725723862743,0.0,0.21136989452366284,0.0,0.0,0.0,0.0
2021-05-30,0.20346869259714812,0.0,0.3567784810977984,0.2235935501480657,0.0,0.22008219253802513,0.0,0.0,0.0,0.0
2021-05-31,0.20225058126539647,0.0,0.3436834351493693,0.22880081570826155,0.0,0.22877052564201472,0.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
